time , r , theta , vr , vtheta , ar  , atheta
176.70158,2.0,57.782936,0.0,0.3536581,-0.0,-1.1080504E-5
176.80159,2.0,57.818302,0.0,0.3536553,-0.0,-1.0472536E-5
176.9016,2.0,57.85367,0.0,0.35367337,-0.0,-1.0192394E-5
177.0016,2.0,57.889034,0.0,0.35367465,-0.0,-1.1998415E-5
177.10161,2.0,57.9244,0.0,0.3536732,-0.0,-1.2126565E-5
177.20161,2.0,57.959766,0.0,0.35365397,-0.0,-1.1980534E-5
177.30162,2.0,57.995132,0.0,0.35364527,-0.0,-1.0058284E-5
177.40163,2.0,58.0305,0.0,0.35365793,-0.0,-9.1880565E-6
177.50163,2.0,58.065865,0.0,0.35366705,-0.0,-1.0454655E-5
177.60164,2.0,58.10123,0.0,0.35366005,-0.0,-1.1366606E-5
177.70164,2.0,58.136597,0.0,0.35366124,-0.0,-1.0666251E-5
177.80165,2.0,58.171963,0.0,0.35365033,-0.0,-1.078546E-5
177.90166,2.0,58.20733,0.0,0.3536533,-0.0,-9.694696E-6
178.00166,2.0,58.242695,0.0,0.3536444,-0.0,-9.992719E-6
178.10167,2.0,58.278057,0.0,0.35364023,-0.0,-9.101629E-6
178.20168,2.0,58.31342,0.0,0.3536389,-0.0,-8.684397E-6
178.30168,2.0,58.34878,0.0,0.353629,-0.0,-8.550286E-6
178.40169,2.0,58.384144,0.0,0.3536391,-0.0,-7.560849E-6
178.5017,2.0,58.419506,0.0,0.353629,-0.0,-8.571148E-6
178.6017,2.0,58.45487,0.0,0.3536317,-0.0,-7.560849E-6
178.7017,2.0,58.49023,0.0,0.3536308,-0.0,-7.832051E-6
178.80171,2.0,58.525593,0.0,0.3536294,-0.0,-7.742644E-6
178.90172,2.0,58.560955,0.0,0.3536315,-0.0,-7.6025726E-6
179.00172,2.0,58.596317,0.0,0.35361838,-0.0,-7.811189E-6
179.10173,2.0,58.63168,0.0,0.3536186,-0.0,-6.4998867E-6
179.20174,2.0,58.66704,0.0,0.35363245,-0.0,-6.5207482E-6
